2026-08-03 03:33:20 | pbil_fuzzy.main | INFO | Carregando instância: data/instances/Small/I_2_4_2_1.txt
2026-08-03 03:33:20 | pbil_fuzzy.main | INFO | Instância carregada: Instancia(nome='I_2_4_2_1', numero_jobs=4, numero_maquinas=2)
2026-08-03 03:33:21 | pbil_fuzzy.main | INFO | Iniciando execução do PBIL-Fuzzy...
2026-08-03 03:33:22 | pbil_fuzzy.main | INFO | geracao=1 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.9917
2026-08-03 03:33:23 | pbil_fuzzy.main | INFO | geracao=2 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.9633
2026-08-03 03:33:24 | pbil_fuzzy.main | INFO | geracao=3 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=1.0125
2026-08-03 03:33:25 | pbil_fuzzy.main | INFO | geracao=4 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=1.0708
2026-08-03 03:33:27 | pbil_fuzzy.main | INFO | geracao=5 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.9506
2026-08-03 03:33:32 | pbil_fuzzy.main | INFO | geracao=6 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.9505
2026-08-03 03:33:35 | pbil_fuzzy.main | INFO | geracao=7 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.9423
2026-08-03 03:33:38 | pbil_fuzzy.main | INFO | geracao=8 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.8892
2026-08-03 03:33:41 | pbil_fuzzy.main | INFO | geracao=9 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=1.0343
2026-08-03 03:33:42 | pbil_fuzzy.main | INFO | geracao=10 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.9764
2026-08-03 03:33:44 | pbil_fuzzy.main | INFO | geracao=11 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.9126
2026-08-03 03:33:47 | pbil_fuzzy.main | INFO | geracao=12 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.9427
2026-08-03 03:33:48 | pbil_fuzzy.main | INFO | geracao=13 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.9242
