2026-08-03 03:36:23 | pbil_fuzzy.main | INFO | Carregando instância: data/instances/Small/I_2_4_2_1.txt
2026-08-03 03:36:23 | pbil_fuzzy.main | INFO | Instância carregada: Instancia(nome='I_2_4_2_1', numero_jobs=4, numero_maquinas=2)
2026-08-03 03:36:24 | pbil_fuzzy.main | INFO | Iniciando execução do PBIL-Fuzzy...
2026-08-03 03:36:27 | pbil_fuzzy.main | INFO | geracao=1 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.590 | beta=0.499 | diversidade_estrutural=0.4928
2026-08-03 03:36:30 | pbil_fuzzy.main | INFO | geracao=2 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.536 | beta=0.500 | diversidade_estrutural=0.4959
2026-08-03 03:36:35 | pbil_fuzzy.main | INFO | geracao=3 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.532 | beta=0.500 | diversidade_estrutural=0.5071
2026-08-03 03:36:43 | pbil_fuzzy.main | INFO | geracao=4 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.506 | beta=0.500 | diversidade_estrutural=0.5047
2026-08-03 03:36:50 | pbil_fuzzy.main | INFO | geracao=5 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.5004
2026-08-03 03:36:57 | pbil_fuzzy.main | INFO | geracao=6 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.517 | beta=0.500 | diversidade_estrutural=0.5114
2026-08-03 03:37:03 | pbil_fuzzy.main | INFO | geracao=7 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.5036
2026-08-03 03:37:09 | pbil_fuzzy.main | INFO | geracao=8 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4721
2026-08-03 03:37:15 | pbil_fuzzy.main | INFO | geracao=9 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4983
2026-08-03 03:37:21 | pbil_fuzzy.main | INFO | geracao=10 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4893
2026-08-03 03:37:27 | pbil_fuzzy.main | INFO | geracao=11 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4881
2026-08-03 03:37:35 | pbil_fuzzy.main | INFO | geracao=12 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4807
2026-08-03 03:37:42 | pbil_fuzzy.main | INFO | geracao=13 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4714
2026-08-03 03:37:48 | pbil_fuzzy.main | INFO | geracao=14 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4914
2026-08-03 03:37:58 | pbil_fuzzy.main | INFO | geracao=15 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4744
2026-08-03 03:38:12 | pbil_fuzzy.main | INFO | geracao=16 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4693
2026-08-03 03:38:22 | pbil_fuzzy.main | INFO | geracao=17 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4663
2026-08-03 03:38:30 | pbil_fuzzy.main | INFO | geracao=18 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4779
2026-08-03 03:38:39 | pbil_fuzzy.main | INFO | geracao=19 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4962
2026-08-03 03:38:45 | pbil_fuzzy.main | INFO | geracao=20 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4687
2026-08-03 03:38:51 | pbil_fuzzy.main | INFO | geracao=21 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.499 | beta=0.499 | diversidade_estrutural=0.4757
2026-08-03 03:38:56 | pbil_fuzzy.main | INFO | geracao=22 | cmax_melhor_geracao=147.00 | cmax_best_historico=147.00 | alpha=0.500 | beta=0.500 | diversidade_estrutural=0.4668
