grupo,instancia,numero_jobs,numero_maquinas,n_pop,geracoes,cmax_inicial,cmax_final,melhoria_absoluta,melhoria_percentual,alpha_medio,beta_medio,diversidade_media,tempo_segundos
Small,I_2_6_2_1,6,2,40,25,357.0,335.0,22.0,6.162464985994398,0.5254748827043344,0.4995000000000005,0.4850686997355838,4.824
Small,I_2_8_2_1,8,2,40,25,387.0,359.0,28.0,7.235142118863049,0.5071367272776263,0.49949999999999983,0.45893985564493095,5.686
Small,I_3_6_2_1,6,2,40,25,446.0,339.0,107.0,23.99103139013453,0.551406035332889,0.4994999999999999,0.43589973012883226,3.94
Small,I_3_8_2_1,8,2,40,25,603.0,470.0,133.0,22.056384742951906,0.5250515366572196,0.4995000000000002,0.5010050542591592,3.723
Large,Ta001_2,20,5,40,25,3816.0,3363.0,453.0,11.871069182389936,0.5037223698794999,0.49949999999999944,0.4990268037915781,17.112
Large,Ta001_3,20,5,40,25,3861.0,3261.0,600.0,15.54001554001554,0.5000852923152332,0.49949999999999933,0.49732003280248227,18.101
